states_encoded,sex,age_group,race_grouped,year,weight,did_vote,education_group_associates,education_group_bachelors,education_group_graduate,education_group_hs_grad,education_group_less_hs,education_group_some_college,income_group_high,income_group_low,income_group_lower_middle,income_group_middle,income_group_upper_middle,marital_status_1,marital_status_2,marital_status_3,marital_status_4,marital_status_5,marital_status_6,hispanic_flag_1,hispanic_flag_2,curr_student_-1,curr_student_1,curr_student_2,lease_type_1,lease_type_2,lease_type_3,job_industry_code_-1,job_industry_code_1,job_industry_code_2,job_industry_code_3,job_industry_code_4,job_industry_code_5,job_industry_code_6,job_industry_code_7,job_industry_code_8,job_industry_code_9,job_industry_code_10,job_industry_code_11,job_industry_code_12,job_industry_code_13,job_industry_code_14,job_industry_code_15,job_industry_code_16,job_industry_code_17,job_industry_code_18,job_industry_code_19,job_industry_code_20,job_industry_code_21,job_industry_code_22,job_industry_code_23,GED_or_HS_-1,GED_or_HS_1,GED_or_HS_2,time_at_curr_address_-9,time_at_curr_address_-3,time_at_curr_address_-2,time_at_curr_address_1,time_at_curr_address_2,time_at_curr_address_3,time_at_curr_address_4,time_at_curr_address_5,time_at_curr_address_6,candidate_flag,gdp_growth_pct,inflation_pct,unemployment_pct,approval_rating_pct,lag_popular_vote_pct,lag_electoral_votes
MA,1,18-24,american_indian,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.1,8.1,52.0,,
MA,1,18-24,asian,12,73463560.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.44532293289353253,0.5546770671064675,1.0,0.0,0.0,0.44532293289353253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5546770671064675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5546770671064675,0.44532293289353253,0.0,2.3,2.1,8.1,52.0,,
MA,1,18-24,black,12,551139172.0,0.5720933368895071,0.0,0.0,0.0,0.5444267641349942,0.0,0.4555732358650058,0.07040127425382858,0.23393834906004468,0.0,0.4992940040923094,0.19636637259381737,0.0,0.0,0.0,0.0,0.0,1.0,0.16496200709174053,0.8350379929082595,0.0,0.41759294873709324,0.5824070512629068,0.9310236580316958,0.06897634196830416,0.0,0.6515312977971379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07040127425382858,0.07040127425382858,0.09818318629690868,0.10948296739829627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4555732358650058,0.4462435778380855,0.09818318629690868,0.0,0.0,0.0,0.0,0.0,0.06897634196830416,0.0,0.1925433817649238,0.738480276266772,0.0,2.3,2.1,8.1,52.0,,
MA,1,18-24,multiracial,12,84685792.0,0.700625909007263,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.299374090992737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700625909007263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3,2.1,8.1,52.0,,
MA,1,18-24,pacific_islander,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.1,8.1,52.0,,
MA,1,18-24,white,12,2003591804.0,0.5998456919221855,0.016350933326137723,0.1754184097271342,0.0,0.2280839056576616,0.14955248040134228,0.4305942708877242,0.24451670396232067,0.1539371699286508,0.13701896336964653,0.20855696213458857,0.2559702006047935,0.0,0.0,0.0,0.0,0.035286944106505236,0.9647130558934948,0.2062715744668718,0.7937284255331282,0.0,0.2535999293796273,0.7464000706203727,0.6198291595726652,0.38017084042733484,0.0,0.4244095959578002,0.016350933326137723,0.034610103645642584,0.036252949255925385,0.01934193577885089,0.0,0.017305051822821292,0.0,0.03396516788706129,0.017305051822821292,0.0,0.016350933326137723,0.0,0.0,0.05116356924366816,0.0,0.12288233337173304,0.09035946126279921,0.016937873239573305,0.016937873239573305,0.0,0.020423433514903718,0.06540373330455089,0.0,0.7719160943423384,0.2087419698788107,0.01934193577885089,0.0,0.014417439691223652,0.0,0.02116019835744946,0.08876633436258556,0.10428203967638111,0.09837008297125176,0.0385103551761185,0.63449354976499,0.0,2.3,2.1,8.1,52.0,,
MA,1,25-34,american_indian,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.1,8.1,52.0,,
MA,1,25-34,asian,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.1,8.1,52.0,,
MA,1,25-34,black,12,45780164.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.3,2.1,8.1,52.0,,
MA,1,25-34,multiracial,12,87726428.0,0.47515866028421905,0.0,0.0,0.0,0.47515866028421905,0.0,0.524841339715781,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.524841339715781,0.47515866028421905,1.0,0.0,0.0,0.524841339715781,0.47515866028421905,0.0,0.47515866028421905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524841339715781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524841339715781,0.0,0.47515866028421905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47515866028421905,0.524841339715781,0.0,2.3,2.1,8.1,52.0,,
MA,1,25-34,pacific_islander,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.1,8.1,52.0,,
MA,1,25-34,white,12,2882651500.0,0.7288683019782308,0.07208485590436443,0.3705466234818881,0.1499784840449843,0.1826707709898335,0.023561836732605382,0.2011574288463243,0.11062944167895425,0.08433175428941028,0.20931386537706692,0.23601626488668506,0.3597086737678835,0.4301152740801307,0.0,0.0,0.010866225070911277,0.011032232651085295,0.5479862681978727,0.0710597642482971,0.9289402357517029,1.0,0.0,0.0,0.5510558234320034,0.4489441765679965,0.0,0.04750642594153334,0.14355321342174038,0.06712964643835719,0.06610512717198037,0.05379113361431307,0.011090701737618993,0.023376634324336464,0.0421236705165366,0.06988988297752954,0.022022309668719927,0.01189107458879438,0.0,0.035510894743953615,0.07438471837473243,0.0334873265117202,0.0,0.071937785750376,0.0816528137376301,0.009876302425041667,0.05547175300240074,0.04457515728141262,0.023825276138999114,0.010798151632273273,0.0,0.8173292290101665,0.1709999089380038,0.011670862051829713,0.0,0.0,0.0,0.02247433517371073,0.11868156591249411,0.05593875222169589,0.21593914075287976,0.20683601191472503,0.38013019402449444,0.0,2.3,2.1,8.1,52.0,,
