state,year,oct_unemp,nov_unemp,percapita_personalincome
NV,20,11.1,10.2,54656
NV,22,5.3,5.3,62493
NV,24,5.5,5.4,68657
NH,10,5.8,5.8,46982
NH,12,5.6,5.6,50715
NH,14,4.1,4.0,51988
NH,18,2.5,2.6,60335
NH,20,5.3,4.9,67535
NH,22,2.6,2.5,74952
NH,24,2.8,2.9,82878
NJ,10,9.5,9.5,50961
NJ,12,9.4,9.4,54235
NJ,14,6.5,6.5,56367
NJ,18,3.7,3.7,64198
NJ,20,7.1,7.2,70430
NJ,22,3.5,3.7,77456
NJ,24,4.7,4.8,84071
NM,10,7.7,7.6,33658
NM,12,6.9,6.9,35694
NM,14,6.4,6.4,36880
NM,18,5.0,5.1,40976
NM,20,8.4,8.4,46483
NM,22,3.5,3.6,53069
NM,24,4.2,4.2,57652
NY,10,8.6,8.5,48578
NY,12,8.5,8.4,52625
NY,14,5.9,5.8,54496
NY,18,4.0,4.0,64229
NY,20,9.2,8.9,70395
NY,22,4.0,4.0,77382
NY,24,4.1,4.1,85733
NC,10,10.5,10.7,35848
NC,12,9.5,9.5,38876
NC,14,5.9,5.8,39880
NC,18,4.0,4.0,46048
NC,20,6.1,5.9,51779
NC,22,3.7,3.7,58871
NC,24,3.7,3.7,64855
ND,10,3.6,3.5,44081
ND,12,3.0,3.0,56056
ND,14,2.7,2.6,56647
ND,18,2.3,2.3,55173
ND,20,4.8,4.5,60368
ND,22,2.2,2.2,71042
ND,24,2.5,2.5,70966
OH,10,9.6,9.5,36580
OH,12,7.3,7.3,40279
OH,14,5.4,5.3,42277
OH,18,4.5,4.5,47821
OH,20,6.7,6.4,52839
OH,22,4.1,4.0,58301
OH,24,4.6,4.7,64225
OK,10,6.2,6.1,37157
OK,12,5.1,5.1,41905
OK,14,4.1,4.0,45884
OK,18,3.1,3.2,46030
OK,20,5.5,5.3,50020
OK,22,3.1,3.1,57943
OK,24,3.1,3.1,62661
OR,10,10.5,10.4,35941
OR,12,8.6,8.5,39128
OR,14,6.3,6.2,41654
OR,18,4.2,4.2,50209
OR,20,6.8,6.6,56594
OR,22,4.2,4.2,63986
OR,24,4.4,4.5,70685
PA,10,7.9,7.9,42097
PA,12,7.6,7.6,45637
PA,14,5.6,5.6,47467
PA,18,4.3,4.3,54468
PA,20,8.1,7.8,60245
PA,22,4.0,4.0,65336
PA,24,3.9,4.0,71148
RI,10,11.5,11.5,42630
RI,12,9.9,9.7,45298
RI,14,7.1,6.9,46630
RI,18,3.9,3.9,52132
RI,20,7.0,7.0,59250
RI,22,3.2,3.1,64075
RI,24,4.5,4.5,69936
SC,10,10.8,10.8,32749
SC,12,8.6,8.5,35807
SC,14,6.6,6.5,37755
SC,18,3.3,3.2,43817
SC,20,5.3,5.1,48769
SC,22,3.2,3.2,54378
SC,24,4.4,4.3,59995
SD,10,4.9,4.9,41275
SD,12,4.0,3.9,44996
SD,14,3.3,3.2,46732
SD,18,2.7,2.7,51579
SD,20,3.3,3.1,59422
SD,22,2.0,1.9,69736
SD,24,1.9,1.9,73959
TN,10,9.6,9.6,35809
TN,12,7.7,7.8,39079
TN,14,6.4,6.3,40225
TN,18,3.5,3.5,46449
TN,20,6.3,5.9,51945
TN,22,3.4,3.4,59099
TN,24,3.6,3.6,64908
TX,10,8.2,8.3,38911
TX,12,6.5,6.5,43869
TX,14,4.9,4.7,46747
TX,18,3.8,3.8,51346
TX,20,7.1,7.0,54795
TX,22,3.9,4.0,62812
TX,24,4.2,4.2,67942
UT,10,8.1,8.2,32037
UT,12,4.6,4.6,35622
UT,14,3.6,3.6,37621
UT,18,2.9,2.9,45463
UT,20,4.0,3.8,51741
UT,22,2.5,2.5,60607
UT,24,3.4,3.3,66443
VT,10,6.0,6.0,41491
VT,12,4.7,4.6,44858
VT,14,3.9,3.8,46894
VT,18,2.3,2.3,51691
VT,20,4.3,4.2,58131
VT,22,2.4,2.3,63523
VT,24,2.5,2.5,70086
VA,10,6.6,6.6,45442
VA,12,5.7,5.6,49049
VA,14,4.9,4.8,49760
VA,18,2.9,3.0,56130
VA,20,5.9,5.3,61400
VA,22,2.9,2.9,69673
VA,24,3.1,3.1,77093
WA,10,9.9,9.9,42327
WA,12,7.7,7.4,47053
WA,14,5.8,5.7,50259
WA,18,4.4,4.5,59824
WA,20,7.3,6.9,67619
WA,22,4.2,4.2,75580
WA,24,4.4,4.4,83938
WV,10,8.4,8.4,32642
WV,12,7.3,7.2,35233
WV,14,6.4,6.3,36243
WV,18,5.0,5.0,41001
WV,20,7.0,6.6,44867
WV,22,3.8,3.7,50131
WV,24,3.9,3.9,55138
WI,10,8.0,8.0,39048
WI,12,6.8,6.8,42639
WI,14,5.0,4.9,44156
WI,18,3.0,3.0,50520
WI,20,5.2,5.0,55428
WI,22,2.8,2.7,61851
WI,24,3.1,3.1,67586
WY,10,6.6,6.5,46395
WY,12,5.2,5.1,53597
WY,14,4.3,4.2,56251
WY,18,4.0,4.0,59197
WY,20,5.6,5.5,65094
WY,22,3.5,3.4,76394
WY,24,3.3,3.3,85945
